,name,salary_min,salary_max,salary_currency,salary_type,company_name,url,site
78,Инженер-метролог,,92500.0,руб.,gross,АО Усть-Луга Ойл,https://hh.ru/vacancy/45184772,hh.ru
79,Инженер-метролог,200000.0,,KZT,gross,ТОО Эйжа Стил Пайп Корпорейшн,https://hh.ru/vacancy/45454484,hh.ru
80,Инженер АСДУ,,,none,none,КРОК,https://hh.ru/vacancy/45526982,hh.ru
81,Инженер-метролог,,,none,none,ООО Фирма ОРГРЭС,https://hh.ru/vacancy/44992703,hh.ru
82,Инженер производственного отдела,41706.0,82124.0,руб.,net,МС сервис,https://hh.ru/vacancy/44825035,hh.ru
83,Инженер по эксплуатации,,50000.0,руб.,gross,"Гостиница Орбита, филиал АО ГК Славянка",https://hh.ru/vacancy/45464989,hh.ru
84,Инженер-электроник,63250.0,,руб.,gross,ООО НПК Дельта-Тест,https://hh.ru/vacancy/45459093,hh.ru
85,Сервисный инженер,,,none,none,Konica Minolta,https://hh.ru/vacancy/45253985,hh.ru
86,Инженер технического отдела,1300.0,3000.0,бел.руб.,net,ЗАО АЛЬБИОН ГРУПП,https://hh.ru/vacancy/45481758,hh.ru
87,Инженер-электроник,40000.0,45000.0,руб.,net,ООО КАМА-Энергетика,https://hh.ru/vacancy/45503064,hh.ru
88,Инженер CAMI,,,none,none,"Formel D Group, Russland",https://hh.ru/vacancy/45518378,hh.ru
89,Инженер,,70000.0,руб.,net,ООО ОРИМИ ТРЭЙД,https://hh.ru/vacancy/45480130,hh.ru
90,Инженер-технолог (механик - проектировщик),,,none,none,ООО ИСМ,https://hh.ru/vacancy/45541527,hh.ru
91,Инженер-технолог,60000.0,,руб.,gross,ЕвроЛюкс Групп,https://hh.ru/vacancy/45273004,hh.ru
92,Инженер,,90000.0,руб.,net,Группа компаний «Армада»,https://hh.ru/vacancy/45283151,hh.ru
93,Инженер приводной техники,40300.0,,руб.,gross,ООО СЗЭМО Электродвигатель,https://hh.ru/vacancy/44811175,hh.ru
94,Инженер,,,none,none,ООО Лайфтех,https://hh.ru/vacancy/45559410,hh.ru
95,Сервисный инженер,50000.0,100000.0,руб.,net,ООО СИМАС ИнтерЛаб,https://hh.ru/vacancy/45054872,hh.ru
96,Инженер-электрик,35000.0,,руб.,gross,ООО ЮгЭнергоРесурс,https://hh.ru/vacancy/45479872,hh.ru
97,Инженер КИП и А,40000.0,,руб.,net,ООО ПромТехЭнерго,https://hh.ru/vacancy/45272548,hh.ru
98,Инженер АСУТП,,,none,none,ЗАО Точка Опоры Промэлектросвет,https://hh.ru/vacancy/45544319,hh.ru
99,Инженер по наладке и испытаниям,,,none,none,ООО ПК Электроконцепт,https://hh.ru/vacancy/45551048,hh.ru
100,Инженер производственного технического отдела ( в г. Симферополь),70000.0,,руб.,gross,АО Международный аэропорт Симферополь,https://hh.ru/vacancy/44970072,hh.ru
101,Инженер отдела инжиниринга систем управления (инженер-проектировщик),40000.0,,руб.,net,ООО Тюмень Прибор,https://hh.ru/vacancy/45047624,hh.ru
102,Инженер-технолог,26000.0,,руб.,gross,ЭлекКом Логистик,https://hh.ru/vacancy/45552125,hh.ru
103,Сервисный инженер (инженер электронщик),60000.0,100000.0,руб.,net,N-Power,https://hh.ru/vacancy/44645613,hh.ru
104,Инженер,,,none,none,Билайн,https://hh.ru/vacancy/45520507,hh.ru
105,Инженер РТО,40000.0,,руб.,gross,Агропромышленный холдинг Дороничи,https://hh.ru/vacancy/45542479,hh.ru
106,Инженер по наладке и испытаниям / Сервис-инженер,60000.0,,руб.,net,Rineco Group,https://hh.ru/vacancy/45101237,hh.ru
107,Инженер,60000.0,,руб.,net,"Эмис, ГК",https://hh.ru/vacancy/43874582,hh.ru
108,Инженер РЭА,,90000.0,руб.,net,АО Телеофис,https://hh.ru/vacancy/45180837,hh.ru
109,Инженер ОТК,200000.0,250000.0,KZT,net,ТОО Автоматические Котлы,https://hh.ru/vacancy/45254837,hh.ru
110,Инженер-технолог/инженер-механик (судовой механик),,,none,none,АО Петербургский нефтяной терминал,https://hh.ru/vacancy/45085794,hh.ru
111,Инженер- техник (г. Ноябрьск),50000.0,,руб.,net,ООО БОРГА ГРУПП,https://hh.ru/vacancy/45359640,hh.ru
112,Инженер по наладке и испытаниям электрооборудования в ЭТЛ,,,none,none,ООО Фирма ОРГРЭС,https://hh.ru/vacancy/44992718,hh.ru
113,Инженер производственного технического отдела ( в г. Симферополь),70000.0,,руб.,gross,АО Международный аэропорт Симферополь,https://hh.ru/vacancy/44970081,hh.ru
114,Инженер по техническому обслуживанию,,,none,none,Konecranes ( Конекрейнс ),https://hh.ru/vacancy/44283140,hh.ru
115,Инженер ПТГ,90000.0,100000.0,руб.,gross,АО ЛЕНГАЗСПЕЦСТРОЙ,https://hh.ru/vacancy/45489085,hh.ru
116,Инженер/Инженер путей сообщения (Инженер-мостовик),60000.0,,руб.,net,ООО Дорнадзор,https://hh.ru/vacancy/44882268,hh.ru
117,Инженер по подготовке производства,35000.0,,руб.,net,ООО ВМБ Хайтек,https://hh.ru/vacancy/45141258,hh.ru
118,Инженер,70000.0,80000.0,руб.,net,ГКУ ЯНАО Ямалтехэнергоконтроль,https://hh.ru/vacancy/41444089,hh.ru
119,Инженер-электроник,1400.0,,бел.руб.,gross,"ЛеанГрупп,ООО",https://hh.ru/vacancy/44648887,hh.ru
120,Инженер производственно-технического отдела / Инженер ПТО,90000.0,,руб.,gross,Першиков Роман,https://hh.ru/vacancy/44933551,hh.ru
121,Инженер,55000.0,60000.0,руб.,net,КГАУ Информационно-технологический центр Камчатского края,https://hh.ru/vacancy/38997970,hh.ru
122,Инженер отдела КНС и ОС,50000.0,,руб.,net,ООО ПК Поли-Групп,https://hh.ru/vacancy/44253507,hh.ru
123,Ведущий инженер ТМО,75000.0,,руб.,net,ООО Комплексные энергетические решения,https://hh.ru/vacancy/45060719,hh.ru
124,Инженер производственного технического отдела (г. Симферополь),70000.0,,руб.,gross,АО Международный аэропорт Симферополь,https://hh.ru/vacancy/44970121,hh.ru
125,Инженер-проектировщик СЗЗ,30000.0,40000.0,руб.,net,ООО ИЛ ПРОТОН,https://hh.ru/vacancy/45223585,hh.ru
126,Инженер,65000.0,70000.0,руб.,net,АО Эн-Системс,https://hh.ru/vacancy/45317141,hh.ru
127,Инженер по сопровождению САПР,,60000.0,руб.,net,"СиСофт, (CSoft)",https://hh.ru/vacancy/45221777,hh.ru
128,Инженер,,,none,none,ООО Аквилон ЛТД,https://hh.ru/vacancy/45415098,hh.ru
129,Инженер,150000.0,,KZT,gross,ТОО Управляющая компания Казмедиа орталыгы (АстанаМедиаЦентр),https://hh.ru/vacancy/45474832,hh.ru
130,Инженер производственного технического отдела ( в г. Симферополь),70000.0,,руб.,gross,АО Международный аэропорт Симферополь,https://hh.ru/vacancy/44970074,hh.ru
131,Инженер производственного технического отдела (г. Симферополь),70000.0,,руб.,gross,АО Международный аэропорт Симферополь,https://hh.ru/vacancy/44970124,hh.ru
132,Инженер по оборудованию,64000.0,,руб.,net,ОАО Хлебпром,https://hh.ru/vacancy/44116841,hh.ru
133,Инженер-электрик/Инженер-энергетик,,,none,none,ООО СтройКонтактСеть,https://hh.ru/vacancy/45518271,hh.ru
134,Инженер технической службы,,,none,none,ООО Мангуста Пласт,https://hh.ru/vacancy/44921079,hh.ru
135,Инженер по наладке и испытаниям,60000.0,70000.0,руб.,net,АО НПК МЕДИАНА-ФИЛЬТР,https://hh.ru/vacancy/45251470,hh.ru
136,Инженер по эксплуатации,,,none,none,ООО ФармЛайн,https://hh.ru/vacancy/45318176,hh.ru
137,Инженер технического отдела,50000.0,55000.0,руб.,net,ГК Расцветай,https://hh.ru/vacancy/44926218,hh.ru
138,Технический специалист / Инженер,50000.0,50000.0,руб.,gross,ООО Инфотек Флекс,https://hh.ru/vacancy/44862516,hh.ru
139,Инженер пусконаладочных работ,50000.0,,руб.,gross,Группа Компаний Стилсофт,https://hh.ru/vacancy/45081024,hh.ru
140,Инженер производственно-технического отдела,75000.0,,руб.,net,ООО Уралавтоматика,https://hh.ru/vacancy/45561222,hh.ru
