,name,salary_min,salary_max,salary_currency,salary_type,salary_period,company_name,url,site
150,Инженер-электроник (диагностика и ремонт станков с ЧПУ),,,none,none,none,Московское машиностроительное предприятие имени В. В. Чернышева,https://www.superjob.ru/vakansii/inzhener-elektronik-31827959.html,superjob.ru
151,Инженер-геодезист в строительстве,90000.0,,руб.,gross,месяц,Алиев Руслан Чингизович,https://www.superjob.ru/vakansii/inzhener-geodezist-v-stroitelstve-37718744.html,superjob.ru
152,Инженер производственно-технического отдела,50000.0,,руб.,gross,месяц,ЭК ЭНЕРГИЯ,https://www.superjob.ru/vakansii/inzhener-proizvodstvenno-tehnicheskogo-otdela-36296312.html,superjob.ru
153,Инженер-конструктор светопрозрачных конструкций,,,none,none,none,ДОМ,https://www.superjob.ru/vakansii/inzhener-konstruktor-svetoprozrachnyh-konstrukcij-37334801.html,superjob.ru
154,Инженер по моделированию сварочных процессов (САЕ расчет сварочных деформаций),,,none,none,none,2050-Интегратор,https://www.superjob.ru/vakansii/inzhener-po-modelirovaniyu-svarochnyh-processov-37717940.html,superjob.ru
155,Сервисный инженер по холодильному оборудованию,85000.0,,руб.,gross,месяц,СК Таурус,https://www.superjob.ru/vakansii/servisnyj-inzhener-po-holodilnomu-oborudovaniyu-37634351.html,superjob.ru
156,Инженер-наладчик КИПиА (пищевое производство),80000.0,,руб.,gross,месяц,28 Хлебозавод,https://www.superjob.ru/vakansii/inzhener-naladchik-kipia-36371793.html,superjob.ru
157,Инженер-проектировщик,,,none,none,none,Траскон Текнолоджи,https://www.superjob.ru/vakansii/inzhener-proektirovschik-31825322.html,superjob.ru
158,Инженер,,,none,none,none,ГБУЗ Детская городская поликлиника №52 ДЗМ,https://www.superjob.ru/vakansii/inzhener-36017956.html,superjob.ru
159,Инженер-электроник,55000.0,65000.0,руб.,gross,месяц,КСТ,https://www.superjob.ru/vakansii/inzhener-elektronik-33166639.html,superjob.ru
160,Ведущий инженер-конструктор (электрооборудование подвижного состава),77000.0,,руб.,gross,месяц,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/veduschij-inzhener-konstruktor-37656973.html,superjob.ru
161,Системный администратор / Инженер,,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/sistemnyj-administrator-37076818.html,superjob.ru
162,Инженер (органические и элементоорганические полимеры),70000.0,,руб.,gross,месяц,Всероссийский научно-исследовательский институт авиационных материалов,https://www.superjob.ru/vakansii/inzhener-34907793.html,superjob.ru
